epoch,train_loss,val_psnr,val_ssim
1,0.0447,38.84,0.9774
2,0.0329,39.54,0.9810
3,0.0302,39.81,0.9821
4,0.0289,39.99,0.9827
5,0.0282,39.68,0.9823
6,0.0273,40.09,0.9829
7,0.0264,40.13,0.9826
8,0.0260,40.29,0.9838
9,0.0254,40.26,0.9838
10,0.0248,40.39,0.9840
11,0.0245,40.43,0.9841
12,0.0241,40.31,0.9842
13,0.0238,40.30,0.9838
14,0.0233,40.50,0.9845
15,0.0227,40.45,0.9842
16,0.0225,40.60,0.9847
17,0.0221,40.43,0.9845
18,0.0217,40.64,0.9847
19,0.0212,40.64,0.9849
20,0.0211,40.52,0.9847
21,0.0210,40.59,0.9846
22,0.0207,40.64,0.9849
23,0.0203,40.56,0.9848
24,0.0201,40.68,0.9849
25,0.0199,40.55,0.9847
26,0.0197,40.72,0.9850
27,0.0193,40.62,0.9848
28,0.0192,40.57,0.9848
29,0.0192,40.55,0.9847
30,0.0193,40.69,0.9851
